user,mean,std,count,cluster
soosoolaroo,0.9062,,1,3
Gloomy-Metal-6081,0.807,,1,3
missgorl1,0.8056,,1,3
Substantial-Read-555,0.7964,,1,3
BananaValuable1000,0.7003,,1,3
Deadlywolf_EWHF,0.6805,,1,3
Dry_Jicama_6257,0.6187,,1,3
TooLittleNuance,0.5574,,1,3
GaryGaulin,0.5106,,1,1
Amazing-Buy-1181,0.4521,0.6393659515488763,2,1
Ga_Ga_Ga9631,0.4497,,1,1
anonimouslygh,0.4354,,1,1
Apprehensive-Pair109,0.4215,,1,1
ima35yearoldwhiteman,0.3298,,1,1
Lumpy-Cost398,0.32265,0.170200602231602,2,1
Chocolatesquid7,0.3174,,1,1
37davidg,0.2612,,1,1
Head_Technology_8006,0.2023,,1,1
saint_steph,0.1901,,1,1
Special-Ad-2785,0.1877,,1,1
ChangingMyHeart,0.1779,,1,1
Immobilesteelrims,0.1255,,1,4
Pixelology,0.09,,1,4
Shachar2like,0.0772,,1,4
icecreamfordogs,0.0258,,1,4
Necessary_Dare_9642,0.0,,1,4
Mammoth_Line3277,0.0,,1,4
yes-but,0.0,,1,4
SummerAdventurous362,0.0,,1,4
Pleasant-Positive-16,0.0,,1,4
PlateRight712,0.0,,1,4
Careless-Culture3840,0.0,,1,4
Tyler_The_Peach,0.0,,1,4
96suluman,0.0,,1,4
Necessary_Step9554,0.0,,1,4
MrRed72,0.0,,1,4
SlightWerewolf4428,0.0,,1,4
jmdorsey,0.0,,1,4
iGutterStomp,0.0,,1,4
HumbleEngineering315,0.0,,1,4
GroundbreakingDate94,0.0,,1,4
TeaBagHunter,-0.0146,,1,4
bjorn_joch,-0.0258,,1,4
SoccerDadPDX,-0.1027,,1,4
damnhotteapot,-0.1154,,1,4
Embarrassed_Lab_8899,-0.1182,,1,4
BigCharlie16,-0.24632500000000002,0.3577652617289723,4,0
WestcoastAlex,-0.25,,1,0
Fine-Feature8772,-0.2692,,1,0
luigirovatti3,-0.3359,,1,0
Haunting_Tap_1541,-0.3506,,1,0
Future_Childhood1365,-0.3818,,1,0
CreativeRealmsMC,-0.3818,,1,0
ip_man_2030,-0.4019,,1,0
Ok-Pack-8866,-0.4158,0.588029999234733,2,0
Conscious_Spray_5331,-0.418,0.5911412690719537,2,0
CastAside1812,-0.4215,,1,0
DeepDreamerX,-0.4215,,1,0
Ok-Parsnip2134,-0.4404,,1,0
Good_Lack_192,-0.4588,,1,0
Wise-Zombie-9808,-0.4588,,1,0
Lopsided_Thing_9474,-0.476,,1,0
yogilawyer,-0.5267,,1,0
ArielRusilaFI,-0.5508,0.23702219305373073,2,0
Peltuose,-0.5719,,1,0
muckingfidget420,-0.5719,,1,0
pieceofwheat,-0.5994,,1,0
OmOshIroIdEs,-0.6486,,1,2
SamuelSama123,-0.6784,,1,2
Alarmed_Land3624,-0.6901,,1,2
Longjumping-Cat-9207,-0.6908,,1,2
Dadlay69,-0.7345,,1,2
TechicaBlurp7224,-0.7608,,1,2
SharingDNAResults,-0.7964,,1,2
AnakinSkycocker5726,-0.8074,0.09107535341682735,2,2
Distinctly_Distinct,-0.8519,,1,2
Icy_Web_3943,-0.8519,,1,2
keretdodor,-0.8591,,1,2
Ok-Mind-665,-0.8641,,1,2
Ok_Yogurtcloset_5352,-0.8811,,1,2
ADP_God,-0.8941,0.1012576910659136,2,2
xSypRo,-0.9007,,1,2
thatshirtman,-0.9118,,1,2
Simonbargiora,-0.9136,,1,2
BizzareRep,-0.9274,,1,2
finkej2,-0.9385,,1,2
Routine-Equipment572,-0.9395,,1,2
Electronic-Bee-9628,-0.9473,,1,2
nnviolet,-0.9567,,1,2
That_Grocery7939,-0.964,,1,2
